"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Legacy Intel® Pentium® Processor","Desktop","560J","End of Interactive Support","90 nm",303,1,4,3.6,3.3,1,"800 MHz FSB",115,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72.8°C","Yes","No","","32-bit","","Yes","Yes","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","",303,1,4,0.4,3.3,0.25,"100 MHz FSB",10.1,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Server","","End of Interactive Support","130 nm",303,1,4,0.933,3.3,0.5,"133 MHz FSB",11.61,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2001,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","765","End of Interactive Support","90 nm",303,1,4,2.1,3.3,2,"400 MHz FSB",7.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","560","End of Interactive Support","90 nm",303,1,4,3.6,3.3,1,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72.8°C","Yes","No","No","32-bit","","No","Yes","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","760","End of Interactive Support","90 nm",303,1,4,2,3.3,2,"533 MHz FSB",27,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Server","","End of Interactive Support","130 nm",303,1,4,1.13,3.3,0.5,"133 MHz FSB",28.7,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,4,3.3,2,"1066 MHz FSB",47,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","551","End of Interactive Support","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",84,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.8,3.3,0.5,"400 MHz FSB",68.4,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"75°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","755","End of Interactive Support","90 nm",303,1,4,2,3.3,2,"400 MHz FSB",7.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Server","","End of Interactive Support","130 nm",303,1,4,1.26,3.3,0.5,"133 MHz FSB",30.4,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","","No","","32-bit","","","","","",2001,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","550","End of Interactive Support","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",84,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","","32-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.6,3.3,0.5,"400 MHz FSB",62.6,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","550J","End of Interactive Support","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",84,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","","32-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","750","End of Interactive Support","90 nm",303,1,4,1.86,3.3,2,"533 MHz FSB",27,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,0.9,3.3,0.25,"100 MHz FSB",23.2,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"75°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Server","","End of Interactive Support","130 nm",303,1,4,1.4,3.3,0.5,"133 MHz FSB",32.2,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,3.8,3.3,1,"800 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.5,3.3,0.5,"400 MHz FSB",61,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Pentium® Processor","Server","","End of Interactive Support","130 nm",303,1,4,1,3.3,0.5,"133 MHz FSB",12.1,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","745A","End of Interactive Support","90 nm",303,1,4,1.8,3.3,2,"400 MHz FSB",21,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.85,3.3,0.25,"100 MHz FSB",22.5,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2000,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","550","End of Interactive Support","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72.8°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","920","End of Interactive Support","65 nm",303,2,4,2.8,3.3,4,"800 MHz FSB",95,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"63.4°C","","No","Yes","64-bit","","Yes","No","","Yes",2006,151.5,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.4,3.3,0.5,"400 MHz FSB",59.8,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"71°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.933,3.3,0.25,"133 MHz FSB",27.3,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"77°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","745","End of Interactive Support","90 nm",303,1,4,1.8,3.3,2,"400 MHz FSB",7.5,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.8,3.3,0.25,"100 MHz FSB",20.8,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",103,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73.5°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","541","End of Interactive Support","90 nm",303,1,4,3.2,3.3,1,"800 MHz FSB",84,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.2,3.3,0.5,"400 MHz FSB",57.1,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Intel® Pentium® Processor 1000 Series","Mobile","A1018","End of Life","22 nm",303,2,2,2.1,3.3,1,"5 GT/s DMI",35,"No","Yes","32 GB","DDR3/L/-RS 1333/1600",2,"25.6 GB/s","No",NA,"650 MHz","1.00 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 & 2x4",1,"105C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2013,151.5,151.5
"Intel® Pentium® Processor 1000 Series","Mobile","A1020","Launched","22 nm",86,4,4,2.41,3.3,2,"",10,"No","Yes","8 GB","DDR3L 1333",2,"21.3 GB/s","No",NA,"688 MHz","896 MHz","","",NA,"","","","11.2",NA,"2","X4, X2, X1",4,"105°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2016,21.5,21.5
"Intel® Pentium® Processor 1000 Series","Server","1405","End of Life","32 nm",303,2,2,1.2,1.8,5,"0 GT/s QPI",40,"Yes","","375 GB","DDR3 800/1066 ",2,"25 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","",24,"","No","Yes","Yes","64-bit","AVX","Yes","Yes","","Yes",2012,151.5,151.5
"Intel® Pentium® Processor 1000 Series","Embedded","1405V2","Launched","22 nm",156,2,2,1.4,3.3,6,"0 GT/s",40,"Yes","Yes","384 GB","DDR3 800/1066/1333 ",2,"38.4 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","x4, x8, x16",24,"80°C","","Yes","Yes","64-bit","AVX","Yes","Yes","Yes","Yes",2014,78,78
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1.4,3.3,0.5,"400 MHz FSB",20.8,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","G620","End of Life","32 nm",64,2,2,2.6,3.3,3,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"850 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,32,32
"Legacy Intel® Pentium® Processor","Mobile","740","End of Interactive Support","90 nm",303,1,4,1.73,3.3,2,"533 MHz FSB",27,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.866,3.3,0.25,"133 MHz FSB",26.1,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2000,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.75,3.3,0.25,"100 MHz FSB",19.5,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,3.4,3.3,0.5,"800 MHz FSB",89,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"68°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","540J","End of Interactive Support","90 nm",303,1,4,3.2,3.3,1,"800 MHz FSB",84,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","","32-bit","","Yes","","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2,3.3,0.5,"400 MHz FSB",54.3,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.6,3.3,0.25,"100 MHz FSB",9.7,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1.5,3.3,0.5,"400 MHz FSB",25.8,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","G620T","End of Life","32 nm",73.5,2,2,2.2,3.3,3,"5 GT/s DMI",35,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"650 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"65.0°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,36.75,36.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,0.9,3.3,1,"400 MHz FSB",7,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C ","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.8,3.3,0.25,"133 MHz FSB",20.8,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.7,3.3,0.25,"100 MHz FSB",18.3,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2000,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",103,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73.5°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","672","End of Interactive Support","90 nm",303,1,4,3.8,3.3,2,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70.8°C","Yes","Yes","Yes","64-bit","","Yes","Yes","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","540","End of Interactive Support","90 nm",303,1,4,3.2,3.3,1,"800 MHz FSB",84,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,2,3.3,0.25,"400 MHz FSB",71.8,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"74°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1.6,3.3,0.5,"400 MHz FSB",26.9,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Embedded","B915C","Launched","",168,2,4,1.5,3.3,3,"",15,"Yes","Yes","32 GB","DDR3 1066/1333",2,"21.3 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","1x16 1x4 or 2x8 1x4 or 1x8 3x4",20,"100°C","Yes","Yes","Yes","64-bit","AVX, AES-NI","Yes","Yes","","Yes",2012,84,42
"Legacy Intel® Pentium® Processor","Desktop","G840","End of Life","32 nm",75,2,2,2.8,3.3,3,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","",NA,"850 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,37.5,37.5
"Legacy Intel® Pentium® Processor","Desktop","G622","End of Life","32 nm",303,2,2,2.6,3.3,3,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"850 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,151.5,151.5
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1,3.3,1,"400 MHz FSB",7,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C ","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","735","End of Interactive Support","90 nm",303,1,4,1.7,3.3,2,"400 MHz FSB",7.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.733,3.3,0.25,"133 MHz FSB",22.8,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","","No","","32-bit","","","","","",2000,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.65,3.3,0.25,"100 MHz FSB",17,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"82°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,3.2,3.3,1,"800 MHz FSB",103,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73.5°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","670","End of Interactive Support","90 nm",303,1,4,3.8,3.3,2,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70.8°C","Yes","No","Yes","64-bit","","Yes","Yes","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","531","End of Interactive Support","90 nm",303,1,4,3,3.3,1,"800 MHz FSB",84,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1.7,3.3,0.5,"400 MHz FSB",30,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Pentium® Processor","Embedded","B925C","Launched","",303,2,4,2,3.3,4,"",15,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","Yes","Yes","","","","","","","",2013,151.5,75.75
"Legacy Intel® Pentium® Processor","Desktop","G850","Launched","32 nm",71,2,2,2.9,3.3,3,"5 GT/s DMI",65,"Yes","Yes","32 GB","DDR3 1066/1333",2,"21 GB/s","",NA,"850 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,35.5,35.5
"Legacy Intel® Pentium® Processor","Desktop","G630","End of Life","32 nm",64,2,2,2.7,3.3,3,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"850 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,32,32
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.667,3.3,0.25,"133 MHz FSB",17.5,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"82°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","250 nm",303,1,4,0.6,3.3,0.5,"100 MHz FSB",34.5,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,3.2,3.3,0.5,"800 MHz FSB",82,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","530J","End of Interactive Support","90 nm",303,1,4,3,3.3,1,"800 MHz FSB",84,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","","32-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,2.8,3.3,1,"533 MHz FSB",103,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,1.9,3.3,0.25,"400 MHz FSB",69.2,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.9,3.3,0.25,"100 MHz FSB",30.7,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,0.933,3.3,0.5,"133 MHz FSB",20.1,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1.8,3.3,0.5,"400 MHz FSB",30,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","G860","End of Life","32 nm",75,2,2,3,3.3,3,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","",NA,"850 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,37.5,37.5
"Legacy Intel® Pentium® Processor","Desktop","G630T","End of Life","32 nm",72,2,2,2.3,3.3,3,"5 GT/s DMI",35,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"650 MHz","1.10 GHz","","",NA,"","","","",NA,"2","",NA,"65.0°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,36,36
"Legacy Intel® Pentium® Processor","Desktop","E6800","End of Interactive Support","45 nm",93,2,4,3.33,3.3,2,"1066 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"74.1°C","No","Yes","Yes","64-bit","SSE2, SSE3, SSSE3","Yes","Yes","","Yes",2010,46.5,23.25
"Legacy Intel® Pentium® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,1.2,3.3,1,"400 MHz FSB",12,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","730","End of Interactive Support","90 nm",303,1,4,1.6,3.3,2,"533 MHz FSB",27,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","250 nm",303,1,4,0.6,3.3,0.5,"133 MHz FSB",34.5,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.6,3.3,0.25,"100 MHz FSB",19.5,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"82°C","","No","","32-bit","","","","","",2000,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","960","End of Interactive Support","65 nm",316,2,4,3.6,3.3,4,"800 MHz FSB",130,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"C1=68.6°C, D0=63.4°C ","No","Yes","Yes","64-bit","","Yes","No","","Yes",2006,158,79
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","90 nm",303,1,4,3.2,3.3,1,"800 MHz FSB",103,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73.5°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","662","End of Interactive Support","90 nm",303,1,4,3.6,3.3,2,"800 MHz FSB",115,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70.8°C","Yes","Yes","Yes","64-bit","","Yes","Yes","","Yes",2005,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","530","End of Interactive Support","90 nm",303,1,4,3,3.3,1,"800 MHz FSB",84,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","Yes","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","519K","End of Interactive Support","90 nm",303,1,4,3.06,3.3,1,"533 MHz FSB",84,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","","No","Yes","64-bit","","Yes","Yes","","Yes",2004,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.8,3.3,0.5,"533 MHz FSB",68.4,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Pentium® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,1.8,3.3,0.5,"400 MHz FSB",68.1,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"77°C","","No","","32-bit","","","","","",2013,303,75.75
